,Area(0072-0135),Mean(0072-0135),Min(0072-0135),Max(0072-0135),Area(0338-0243),Mean(0338-0243),Min(0338-0243),Max(0338-0243),Area(0351-0330),Mean(0351-0330),Min(0351-0330),Max(0351-0330),Area(0457-0352),Mean(0457-0352),Min(0457-0352),Max(0457-0352),Area(0454-0435),Mean(0454-0435),Min(0454-0435),Max(0454-0435)
48,1254,115.065,-9.0,880.0,1000,77.345,-6.0,792.0,1101,124.464,-4.0,898.0,846,51.765,-10.0,421.0,1024,52.807,-6.0,489.0
49,1254,123.117,-8.0,879.0,1000,73.594,-8.0,631.0,1101,127.82,-10.0,831.0,846,51.508,-11.0,466.0,1024,54.912,-8.0,430.0
50,1254,115.538,-13.0,802.0,1000,76.373,-10.0,802.0,1101,128.323,-9.0,909.0,846,52.405,-9.0,417.0,1024,50.155,-12.0,437.0
51,1254,116.726,-22.0,1027.0,1000,74.322,-9.0,748.0,1101,127.791,-19.0,820.0,846,56.478,-8.0,454.0,1024,52.008,-14.0,445.0
52,1254,120.86,-20.0,888.0,1000,78.546,-10.0,797.0,1101,120.52,-16.0,1015.0,846,53.788,-20.0,422.0,1024,54.966,-15.0,563.0
53,1254,114.797,-28.0,831.0,1000,80.943,-8.0,876.0,1101,122.669,-32.0,894.0,846,57.083,-15.0,457.0,1024,56.066,-19.0,546.0
54,1254,117.592,-28.0,884.0,1000,73.633,-12.0,811.0,1101,125.926,-26.0,949.0,846,54.621,-13.0,654.0,1024,55.691,-23.0,562.0
55,1254,115.254,-27.0,680.0,1000,74.056,-16.0,843.0,1101,123.875,-18.0,887.0,846,50.486,-20.0,398.0,1024,53.558,-14.0,374.0
56,1254,114.682,-36.0,705.0,1000,80.331,-15.0,828.0,1101,118.703,-29.0,716.0,846,58.691,-21.0,489.0,1024,48.831,-18.0,484.0
57,1254,122.698,-44.0,684.0,1000,80.282,-21.0,595.0,1101,121.711,-23.0,980.0,846,58.187,-16.0,617.0,1024,50.589,-27.0,425.0
58,1254,117.081,-36.0,739.0,1000,72.802,-29.0,859.0,1101,124.702,-28.0,933.0,846,50.405,-22.0,500.0,1024,50.509,-21.0,419.0
59,1254,119.42,-33.0,831.0,1000,77.467,-23.0,628.0,1101,131.318,-36.0,865.0,846,54.173,-25.0,485.0,1024,49.981,-17.0,569.0
60,1254,114.897,-38.0,745.0,1000,72.983,-20.0,812.0,1101,117.814,-31.0,808.0,846,58.129,-18.0,510.0,1024,48.298,-24.0,422.0
61,1254,113.894,-31.0,896.0,1000,74.618,-22.0,557.0,1101,118.313,-22.0,872.0,846,53.729,-18.0,494.0,1024,49.047,-19.0,496.0
62,1254,115.732,-34.0,911.0,1000,70.945,-28.0,787.0,1101,125.823,-40.0,912.0,846,51.104,-26.0,390.0,1024,48.188,-30.0,437.0
63,1254,121.947,-48.0,769.0,1000,81.713,-26.0,652.0,1101,126.627,-38.0,923.0,846,54.629,-31.0,596.0,1024,50.531,-24.0,441.0
64,1254,118.489,-35.0,917.0,1000,79.677,-21.0,807.0,1101,121.715,-50.0,919.0,846,54.663,-18.0,494.0,1024,48.367,-26.0,419.0
65,1254,122.246,-36.0,907.0,1000,73.413,-30.0,717.0,1101,122.035,-42.0,974.0,846,55.108,-28.0,559.0,1024,47.827,-36.0,394.0
66,1254,112.427,-37.0,868.0,1000,75.202,-31.0,861.0,1101,126.98,-26.0,927.0,846,56.926,-29.0,566.0,1024,50.084,-27.0,484.0
67,1254,118.757,-49.0,804.0,1000,78.005,-19.0,763.0,1101,126.099,-37.0,743.0,846,51.428,-33.0,410.0,1024,52.076,-35.0,403.0
68,1254,114.135,-32.0,659.0,1000,74.162,-39.0,850.0,1101,134.012,-35.0,858.0,846,55.16,-26.0,646.0,1024,51.861,-31.0,410.0
69,1254,122.153,-48.0,1066.0,1000,75.152,-26.0,790.0,1101,132.135,-38.0,776.0,846,58.595,-30.0,665.0,1024,50.673,-33.0,419.0
70,1254,119.488,-60.0,719.0,1000,79.55,-29.0,646.0,1101,117.157,-34.0,805.0,846,56.863,-26.0,520.0,1024,46.633,-26.0,383.0
71,1254,116.558,-44.0,766.0,1000,76.646,-53.0,678.0,1101,124.921,-46.0,664.0,846,58.148,-41.0,464.0,1024,53.04,-26.0,465.0
72,1254,115.832,-61.0,941.0,1000,78.182,-43.0,640.0,1101,120.537,-56.0,800.0,846,61.019,-37.0,555.0,1024,54.842,-39.0,468.0
73,1254,122.627,-50.0,846.0,1000,80.566,-31.0,981.0,1101,122.92,-31.0,726.0,846,55.625,-25.0,525.0,1024,48.441,-27.0,397.0
74,1254,116.303,-53.0,763.0,1000,78.533,-44.0,584.0,1101,125.704,-46.0,765.0,846,56.517,-23.0,411.0,1024,50.916,-39.0,423.0
75,1254,118.444,-39.0,817.0,1000,71.786,-47.0,728.0,1101,119.496,-54.0,861.0,846,53.025,-31.0,491.0,1024,52.537,-60.0,552.0
